,CH1,CH2,
Second,Volt,Volt,
-1.73E-03,-1.80E-01,-2.28E+00, 
-1.72E-03,-1.88E-01,-2.36E+00, 
-1.71E-03,-2.16E-01,-2.64E+00, 
-1.70E-03,-2.20E-01,-2.72E+00, 
-1.69E-03,-2.44E-01,-2.96E+00, 
-1.68E-03,-2.48E-01,-3.00E+00, 
-1.67E-03,-2.64E-01,-3.16E+00, 
-1.66E-03,-2.72E-01,-3.24E+00, 
-1.65E-03,-2.80E-01,-3.36E+00, 
-1.64E-03,-2.88E-01,-3.44E+00, 
-1.63E-03,-2.92E-01,-3.52E+00, 
-1.62E-03,-2.96E-01,-3.52E+00, 
-1.61E-03,-3.00E-01,-3.56E+00, 
-1.60E-03,-3.00E-01,-3.60E+00, 
-1.59E-03,-3.04E-01,-3.60E+00, 
-1.58E-03,-3.04E-01,-3.60E+00, 
-1.57E-03,-2.96E-01,-3.56E+00, 
-1.56E-03,-2.96E-01,-3.48E+00, 
-1.55E-03,-2.92E-01,-3.48E+00, 
-1.54E-03,-2.88E-01,-3.44E+00, 
-1.53E-03,-2.80E-01,-3.32E+00, 
-1.52E-03,-2.72E-01,-3.32E+00, 
-1.51E-03,-2.64E-01,-3.12E+00, 
-1.50E-03,-2.60E-01,-3.08E+00, 
-1.49E-03,-2.44E-01,-2.88E+00, 
-1.48E-03,-2.32E-01,-2.80E+00, 
-1.47E-03,-2.16E-01,-2.60E+00, 
-1.46E-03,-2.12E-01,-2.48E+00, 
-1.45E-03,-1.88E-01,-2.20E+00, 
-1.44E-03,-1.80E-01,-2.12E+00, 
-1.43E-03,-1.60E-01,-1.80E+00, 
-1.42E-03,-1.44E-01,-1.72E+00, 
-1.41E-03,-1.24E-01,-1.44E+00, 
-1.40E-03,-1.16E-01,-1.32E+00, 
-1.39E-03,-8.80E-02,-1.00E+00, 
-1.38E-03,-7.60E-02,-8.80E-01, 
-1.37E-03,-5.20E-02,-5.60E-01, 
-1.36E-03,-4.40E-02,-4.40E-01, 
-1.35E-03,-1.60E-02,-8.00E-02, 
-1.34E-03,-4.00E-03,4.00E-02, 
-1.33E-03,2.40E-02,3.60E-01, 
-1.32E-03,3.20E-02,4.40E-01, 
-1.31E-03,5.60E-02,8.40E-01, 
-1.30E-03,6.40E-02,9.20E-01, 
-1.29E-03,9.20E-02,1.24E+00, 
-1.28E-03,1.00E-01,1.36E+00, 
-1.27E-03,1.28E-01,1.68E+00, 
-1.26E-03,1.36E-01,1.76E+00, 
-1.25E-03,1.64E-01,2.08E+00, 
-1.24E-03,1.76E-01,2.16E+00, 
-1.23E-03,2.04E-01,2.48E+00, 
-1.22E-03,2.12E-01,2.56E+00, 
-1.21E-03,2.36E-01,2.80E+00, 
-1.20E-03,2.40E-01,2.84E+00, 
-1.19E-03,2.56E-01,3.04E+00, 
-1.18E-03,2.64E-01,3.12E+00, 
-1.17E-03,2.80E-01,3.28E+00, 
-1.16E-03,2.84E-01,3.32E+00, 
