,CH1,CH2,
Second,Volt,Volt,
2.66E-03,1.36E-01,1.76E+00, 
2.67E-03,1.68E-01,2.12E+00, 
2.68E-03,1.72E-01,2.20E+00, 
2.69E-03,2.00E-01,2.48E+00, 
2.70E-03,2.12E-01,2.52E+00, 
2.71E-03,2.32E-01,2.80E+00, 
2.72E-03,2.40E-01,2.84E+00, 
2.73E-03,2.56E-01,3.04E+00, 
2.74E-03,2.64E-01,3.12E+00, 
2.75E-03,2.76E-01,3.28E+00, 
2.76E-03,2.84E-01,3.28E+00, 
2.77E-03,2.92E-01,3.40E+00, 
2.78E-03,2.96E-01,3.44E+00, 
2.79E-03,3.00E-01,3.56E+00, 
2.80E-03,3.04E-01,3.56E+00, 
2.81E-03,3.08E-01,3.56E+00, 
2.82E-03,3.08E-01,3.56E+00, 
2.83E-03,3.04E-01,3.60E+00, 
2.84E-03,3.04E-01,3.56E+00, 
2.85E-03,3.00E-01,3.48E+00, 
2.86E-03,2.96E-01,3.48E+00, 
2.87E-03,2.88E-01,3.40E+00, 
2.88E-03,2.88E-01,3.32E+00, 
2.89E-03,2.80E-01,3.24E+00, 
2.90E-03,2.72E-01,3.20E+00, 
2.91E-03,2.60E-01,3.00E+00, 
2.92E-03,2.56E-01,2.92E+00, 
2.93E-03,2.40E-01,2.68E+00, 
2.94E-03,2.28E-01,2.64E+00, 
2.95E-03,2.08E-01,2.40E+00, 
2.96E-03,2.00E-01,2.28E+00, 
2.97E-03,1.80E-01,2.04E+00, 
2.98E-03,1.72E-01,1.96E+00, 
2.99E-03,1.48E-01,1.60E+00, 
